key,actual,actual_F,avg_F,avgDifference,minValue_F,minValueRank_F,maxValue_F,maxValueRank_F,ticker
dy,3.7189,3.72%,1.21%,208.3358206480284,0.07%,2016,3.72%,2024,PNVL3
dy,1.4086,1.41%,0.87%,61.60712236984007,0.24%,2022,1.41%,2024,VIVA3
dy,6.7795,6.78%,4.26%,59.317718940936864,1.97%,2019,6.78%,2024,TIMS3
dy,1.0955,1.10%,0.74%,48.29437776373973,0.16%,2022,1.10%,2024,TTEN3
dy,6.0051,6.01%,4.05%,48.17861445039896,0.08%,2020,7.56%,2022,KLBN11
p_l,98.7736,98.77,191.99,-48.55292469895677,98.77,2024,473.69,2020,TFCO4
p_l,14.9768,14.98,26.76,-44.023625233471606,13.47,2011,58.81,2020,PNVL3
p_l,13.3747,13.37,23.53,-43.15403371023704,13.37,2024,47.44,2020,VIVA3
p_l,14.1203,14.12,22.99,-38.5920011630244,4.22,2011,68.83,2013,CSAN3
p_l,18.8982,18.90,29.37,-35.64722173103085,5.29,2022,142.43,2020,CCRO3
p_vp,1.3545,1.35,3.41,-60.25683658698799,1.35,2024,7.99,2016,PNVL3
p_vp,2.031,2.03,4.73,-57.01762739842818,1.68,2011,10.38,2012,CCRO3
p_vp,1.0205,1.02,2.27,-55.01085602812648,1.02,2024,3.99,2021,BLAU3
p_vp,0.6559,0.66,1.46,-54.9817379580831,0.66,2024,2.76,2019,EZTC3
p_vp,3.1738,3.17,5.36,-40.83275593682713,3.17,2024,11.38,2019,VIVA3
p_ebita,1.6545,1.65,5.54,-70.11579789645562,1.65,2024,10.24,2013,CSAN3
p_ebita,4.2512,4.25,11.75,-63.81988238397971,4.25,2024,27.26,2016,PNVL3
p_ebita,11.5656,11.57,24.13,-52.0740718640292,11.57,2024,46.42,2019,EZTC3
p_ebita,3.1838,3.18,6.30,-49.47572214662324,3.18,2024,11.15,2021,VAMO3
p_ebita,63.416,63.42,114.22,-44.47833660542497,63.42,2024,237.14,2020,TFCO4
p_ebit,15.1569,15.16,126.68,-88.03548072455177,5.12,2015,1.558.45,2018,EZTC3
p_ebit,2.1464,2.15,6.83,-68.55720101999496,2.15,2024,15.61,2013,CSAN3
p_ebit,1.1001,1.10,3.16,-65.21661230060654,1.10,2024,7.10,2020,SIMH3
p_ebit,4.1775,4.18,8.27,-49.499375919875966,4.18,2024,15.53,2021,VAMO3
p_ebit,9.041,9.04,16.86,-46.3746384840411,8.43,2010,35.83,2020,PNVL3
p_sr,0.1602,0.16,0.45,-64.17843699921738,0.16,2024,0.75,2020,SIMH3
p_sr,0.6426,0.64,1.67,-61.44857109799838,0.47,2011,3.71,2012,CSAN3
p_sr,2.676,2.68,5.91,-54.7266852015813,2.68,2024,15.48,2019,VIVA3
p_sr,1.3236,1.32,2.90,-54.37120794263652,1.32,2024,4.78,2021,BLAU3
p_sr,1.2959,1.30,2.84,-54.33238940280662,1.05,2011,6.70,2012,CCRO3
p_ativo,0.5059,0.51,1.50,-66.33960690728921,0.51,2024,3.72,2016,PNVL3
p_ativo,0.1784,0.18,0.48,-62.7906976744186,0.18,2024,0.84,2019,CSAN3
p_ativo,0.1414,0.14,0.35,-59.98301966888354,0.14,2024,0.64,2017,BRKM5
